E,U,Frekans,Kaynak_IDler
googolplex,(https://tr.wikipedia.org/wiki/Googolplex),2,"Google#57: Bu ofis, 1'in sonuna googol tane sıfır eklenmesiyle oluşan googolplex sözcüğünden esinlenerek oluşturulmuş olan Googleplex adıyla anılmaktadır. | Google#195: İsmi, Google ve kompleks ile googolplex kelimesinden türetilmiştir. [kaynak belirtilmeli] Binanın lobisi piyano şeklinde dekore edilmiştir, içeride lav lambaları , eski server clusterlar ve duvarlarda arama sorgu projeksiyonları bulunmaktadır."
YouTube,(https://tr.wikipedia.org/wiki/YouTube),2,"Google#15: Alexa , internette en çok ziyaret edilen web sitesi olarak ABD odaklı ""google.com"" u listelemektedir, YouTube , Blogger , Orkut gibi Google'a ait diğer siteler ve çok sayıda uluslararası Google sitesi (google.co.in, google.co.uk vb.) ise en çok ziyaret edilen siteler arasında ilk yüz içinde yer almaktadır. | GoogleCard#12: Adscape Android DeepMind Endoxon FeedBurner Fitbit ImageAmerica Kaltix Nest Labs YouTube ZipDash"
AOL,(https://tr.wikipedia.org/wiki/AOL),2,"Google#67: Şirket, Time Warner 'ın AOL 'u ile birbirlerinin video arama hizmetlerini geliştirmek için iş birliği yaptı. | Google#73: Google Earth'de 3 boyutlu track Santa ilk kez uygulanmaya başlandı ve eski sponsor AOL kalktı."
DoubleClick,(https://tr.wikipedia.org/wiki/DoubleClick),2,"Google#62: Google hizmeti 2005 yılında Google Earth olarak adlandırdı. 2 yıl sonra çevrim içi video sitesi YouTube'u 1,65 milyar $ (hisse senedi) karşılığı satın aldı. 13 Nisan 2007'de ise DoubleClick 'i 3,1 milyar $'a satın alarak web yayımcıları ve reklam ajansları ile DoubleClick arasındaki ilişkiye sahip oldu. Aynı yıl GrandCentral 'i 50 milyon $'a satın aldı ve bu site daha sonra Google Voice adını aldı. 5 Ağustos 2009'da ilk halka açık şirketini, video yazılımı üreten On2 Technologies'i 106,5 milyon $'a satın aldı. Google ayrıca bir sosyal ağ arama motoru olan Aardvark 'ı da 50 milyon $'a alıp kendi dâhilî bloglarında ""Nereye kadar götürebileceğimizi görebilmek için iş birliğine sabırsızlanıyoruz"" (we're looking forward to collaborating to see where we can take it. (İngilizce) ) yazmıştı. | Google#98: Teknolojik olarak DoubleClick 'ten yararlanan şirket, kullanıcıların ilgi alanlarına göre hedef reklamları belirleyerek; kullanıcıların amacına uygun içerikleri, onlarla buluşturmuştur."
Yapay zekâ,(https://tr.wikipedia.org/wiki/Yapay_zek%C3%A2),2,"Google#267: Yarışmada amaç, kısıtlı bir sürede, verilen algoritma problemlerini çözebilecek bilgisayar programları yazmaktır. Yapay zekâ konusunda 2009-2011 yılları arasında 4 defa düzenlenen AI Challenge yarışmasına 2010 yılından itibaren sponsor olmuştur. | GoogleCard#5: İnternet Bulut bilişim Bilgisayar yazılımı Bilgisayar donanımı Yapay zekâ Reklam"
CEO,(https://tr.wikipedia.org/wiki/%C4%B0cra_kurulu_ba%C5%9Fkan%C4%B1),2,GoogleCard#10: Sundar Pichai ( CEO ) Ruth Porat ( CFO ) Thomas Kurian ( Google Cloud 'ın CEO 'su)
Gmail,(https://tr.wikipedia.org/wiki/Gmail),1,"Google#13: Şirket, Orkut , Google Buzz ve Google+ gibi sosyal ağ araçları ile elektronik posta hizmeti Gmail servisi gibi çevrim içi verimlilik yazılımları sunmakta, ek olarak, web tarayıcısı Google Chrome , navigasyon uygulaması Google Haritalar , mesajlaşma uygulaması Google Hangouts gibi hizmetler sunmaktadır."
Paul Buchheit,(https://tr.wikipedia.org/wiki/Paul_Buchheit),1,"Google#8: Kuruluşundan bu yana misyonu ""dünyadaki bilgiyi organize etmek ve bunu evrensel olarak erişilebilir ve kullanılabilir hâle getirmek""tir. Gayriresmî sloganı ise, Google mühendisi Amit Patel tarafından bulunan ve Paul Buchheit tarafından desteklenen "" Don't be evil ""dır (Kötü olma)."
misyonu,(https://tr.wikipedia.org/wiki/Misyon),1,"Google#8: Kuruluşundan bu yana misyonu ""dünyadaki bilgiyi organize etmek ve bunu evrensel olarak erişilebilir ve kullanılabilir hâle getirmek""tir. Gayriresmî sloganı ise, Google mühendisi Amit Patel tarafından bulunan ve Paul Buchheit tarafından desteklenen "" Don't be evil ""dır (Kötü olma)."
Eric Schmidt,(https://tr.wikipedia.org/wiki/Eric_Schmidt),1,"Google#7: Halka arzın gerçekleştiği dönemde, Larry Page , Sergey Brin ve Eric Schmidt , takip eden yirmi yıl boyunca, yani 2024 yılına kadar Google'da birlikte çalışmak üzere anlaştılar."
