E,U,Frekans,Kaynak_IDler
Instagram,(https://tr.wikipedia.org/wiki/Instagram),1,"İnternet sitesi#4: Web sayfaları arasındaki köprüler , genellikle bir ana sayfayla başlayan sitenin gezinmesine rehberlik eder. Mayıs 2023 itibarıyla en çok ziyaret edilen 5 web sitesi Google Arama , YouTube , Facebook , Twitter ve Instagram 'dır. Son yıllarda sitelerle paralel Web uygulaması , bilgisayar uygulaması ve mobil uygulama 'lar da popülerlik kazandı."
viki,(https://tr.wikipedia.org/wiki/Viki),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
web portal,(https://tr.wikipedia.org/wiki/Web_portal),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
web postası,(https://tr.wikipedia.org/wiki/Web_postas%C4%B1),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
Warez,(https://tr.wikipedia.org/wiki/Korsan_%C3%BCr%C3%BCn),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
sosyal haber sitesi,(https://tr.wikipedia.org/w/index.php?title=Sosyal_haber_sitesi&action=edit&redlink=1),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
sosyal ağ hizmetleri,(https://tr.wikipedia.org/wiki/Sosyal_a%C4%9F_hizmetleri),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
sosyal imleme,(https://tr.wikipedia.org/wiki/Sosyal_imleme),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
şok sitesi,(https://tr.wikipedia.org/wiki/%C5%9Eok_sitesi),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
arama motoru,(https://tr.wikipedia.org/wiki/Arama_motoru),1,"Yahoo!#3: İlk başlarda arama motoru olarak hizmet vermesine rağmen zamanla e-posta , anlık mesaj , e-mail ve benzeri hizmetler de sunarak pazarda hâkim olmaya çalışmıştır. | İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
kişisel web sayfaları,(https://tr.wikipedia.org/w/index.php?title=Ki%C5%9Fisel_web_sayfalar%C4%B1&action=edit&redlink=1),1,"İnternet sitesi#10: En popüler site türlerine viki , web portal , web postası , Warez , sosyal haber sitesi , sosyal ağ hizmetleri , sosyal imleme , şok sitesi , arama motoru , kişisel web sayfaları , haber siteleri , internet forumu , çevrimiçi arkadaşlık servisi , istihdam web sitesi , tıkla bağışla siteleri , arşiv sitesi , blog ve diğer türler dahildir."
