E,U,Frekans,Kaynak_IDler
gushteengiri,https://tr.wikipedia.org/w/index.php?title=Gushteengiri&action=edit&redlink=1,1,Güreş#65
khuresh,https://tr.wikipedia.org/w/index.php?title=Khuresh&action=edit&redlink=1,1,Güreş#65
naban,https://tr.wikipedia.org/w/index.php?title=Naban&action=edit&redlink=1,1,Güreş#65
pehlwani,https://tr.wikipedia.org/w/index.php?title=Pehlwani&action=edit&redlink=1,1,Güreş#65
schwingen,https://tr.wikipedia.org/wiki/Schwingen,1,Güreş#65
"kene U:(https://tr.wikipedia.org/w/index.php?title=Kene_(Naga_wrestling)&action=edit&redlink=1)___ , Çin'in ___E:shuai jiao=shuai jiao",https://tr.wikipedia.org/w/index.php?title=Shuai_jiao&action=edit&redlink=1,1,Güreş#65
ssireum,https://tr.wikipedia.org/wiki/Ssireum,1,Güreş#65
Scottish Backhold,https://tr.wikipedia.org/w/index.php?title=Scottish_Backhold&action=edit&redlink=1,1,Güreş#66
Gouren,https://tr.wikipedia.org/w/index.php?title=Gouren&action=edit&redlink=1,1,Güreş#66
Collar-and-elbow,https://tr.wikipedia.org/w/index.php?title=Collar-and-elbow&action=edit&redlink=1,1,Güreş#66
British Wrestling Association,https://tr.wikipedia.org/w/index.php?title=British_Wrestling_Association&action=edit&redlink=1,1,Güreş#67
Field of the Cloth of Gold,https://tr.wikipedia.org/w/index.php?title=Field_of_the_Cloth_of_Gold&action=edit&redlink=1,1,Güreş#71
Yağlı güreş,https://tr.wikipedia.org/wiki/Ya%C4%9Fl%C4%B1_g%C3%BCre%C5%9F,1,Güreş#72
Edirne,https://tr.wikipedia.org/wiki/Edirne,1,Güreş#82
Kırkpınar=Kırkpınar Yağlı Güreşleri,https://tr.wikipedia.org/wiki/K%C4%B1rkp%C4%B1nar_Ya%C4%9Fl%C4%B1_G%C3%BCre%C5%9Fleri,1,Güreş#82
kolej,https://tr.wikipedia.org/wiki/Kolej,1,Güreş#84
üniversite,https://tr.wikipedia.org/wiki/%C3%9Cniversite,1,Güreş#84
Dünya Güreş Birliği=UWW=Uluslararası Güreş Federasyonları Birliği,https://tr.wikipedia.org/wiki/D%C3%BCnya_G%C3%BCre%C5%9F_Birli%C4%9Fi,1,GüreşCard#1
Grekoromen,https://tr.wikipedia.org/wiki/Greko-Romen,1,GüreşCard#2
Serbest güreş=serbest güreş,https://tr.wikipedia.org/wiki/Serbest_g%C3%BCre%C5%9F,1,GüreşCard#2
Ankara,https://tr.wikipedia.org/wiki/Ankara,2,Ankara Etnografya Müzesi#1=Ankara Etnografya MüzesiCard#2
Altındağ,https://tr.wikipedia.org/wiki/Alt%C4%B1nda%C4%9F,1,Ankara Etnografya Müzesi#1
Kurtuluş Savaşı,https://tr.wikipedia.org/wiki/T%C3%BCrk_Kurtulu%C5%9F_Sava%C5%9F%C4%B1,1,Ankara Etnografya Müzesi#1
cuma namazlarının,https://tr.wikipedia.org/wiki/Cuma_namaz%C4%B1,1,Ankara Etnografya Müzesi#1
Arkeoloji,https://tr.wikipedia.org/wiki/Arkeoloji,1,Ankara Etnografya Müzesi#2
Arif Hikmet Koyunoğlu,https://tr.wikipedia.org/wiki/Arif_Hikmet_Koyuno%C4%9Flu,1,Ankara Etnografya Müzesi#3
küfeki taşı,https://tr.wikipedia.org/wiki/K%C3%BCfeki_ta%C5%9F%C4%B1,1,Ankara Etnografya Müzesi#5
Alınlık,https://tr.wikipedia.org/wiki/Al%C4%B1nl%C4%B1k,1,Ankara Etnografya Müzesi#5
