Entity,URL,Sayfa_Frekans,Kaynak_Sayfa_Sayisi,Kaynak_Basliklar,Sayfa_IDleri
Yalova,https://tr.wikipedia.org/wiki/Yalova,2,2,Cumhuriyet Halk Partisi 36. Olağan Kurultayı | Türkiye,Page_8 | Page_7
Kemalizm,https://tr.wikipedia.org/wiki/Kemalizm,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Özgür Özel,https://tr.wikipedia.org/wiki/%C3%96zg%C3%BCr_%C3%96zel,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
laiklik,https://tr.wikipedia.org/wiki/Laiklik,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Süleyman Demirel,https://tr.wikipedia.org/wiki/S%C3%BCleyman_Demirel,2,2,Cumhuriyet Halk Partisi | Türkiye,Page_28 | Page_7
Merkez Parti,https://tr.wikipedia.org/wiki/Merkez_Parti,2,2,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri,Page_10 | Page_24
25. dönem TBMM,https://tr.wikipedia.org/wiki/TBMM_25._d%C3%B6nem_milletvekilleri_listesi,2,2,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri,Page_10 | Page_24
Ahmet Davutoğlu,https://tr.wikipedia.org/wiki/Ahmet_Davuto%C4%9Flu,2,2,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri,Page_10 | Page_24
Toplumsal Uzlaşma Reform ve Kalkınma Partisi,https://tr.wikipedia.org/wiki/Toplumsal_Uzla%C5%9Fma_Reform_ve_Kalk%C4%B1nma_Partisi,2,2,Kasım 2015 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri,Page_10 | Page_24
Büyük Birlik Partisi,https://tr.wikipedia.org/wiki/B%C3%BCy%C3%BCk_Birlik_Partisi,2,2,Haziran 2015 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_24 | Page_16
Halkın Yükselişi Partisi,https://tr.wikipedia.org/wiki/Halk%C4%B1n_Y%C3%BCkseli%C5%9Fi_Partisi,2,2,2011 Türkiye genel seçimleri | Haziran 2015 Türkiye genel seçimleri,Page_15 | Page_24
TBMM,https://tr.wikipedia.org/wiki/T%C3%BCrkiye_B%C3%BCy%C3%BCk_Millet_Meclisi,2,2,2002 Türkiye genel seçimleri | 2018 Türkiye genel seçimleri,Page_26 | Page_16
Millet İttifakı,https://tr.wikipedia.org/wiki/Millet_%C4%B0ttifak%C4%B1,2,2,Cumhuriyet Halk Partisi | 2018 Türkiye genel seçimleri,Page_28 | Page_16
Çankaya,https://tr.wikipedia.org/wiki/%C3%87ankaya,2,2,Gazi Üniversitesi | Cumhuriyet Halk Partisi,Page_19 | Page_28
Ahmet Necdet Sezer,https://tr.wikipedia.org/wiki/Ahmet_Necdet_Sezer,2,2,2002 Türkiye genel seçimleri | 2007 Türkiye genel seçimleri,Page_26 | Page_22
AK Partili,https://tr.wikipedia.org/wiki/Adalet_ve_Kalk%C4%B1nma_Partisi,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
E-muhtıra,https://tr.wikipedia.org/wiki/E-muht%C4%B1ra,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
halk oylamasında,https://tr.wikipedia.org/wiki/2007_T%C3%BCrkiye_anayasa_de%C4%9Fi%C5%9Fikli%C4%9Fi_referandumu,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
28 Ağustos 2007 tarihinde,https://tr.wikipedia.org/wiki/2007_T%C3%BCrkiye_cumhurba%C5%9Fkanl%C4%B1%C4%9F%C4%B1_se%C3%A7imi,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
Genelkurmay Başkanı,https://tr.wikipedia.org/wiki/T%C3%BCrk_Silahl%C4%B1_Kuvvetleri_genelkurmay_ba%C5%9Fkanlar%C4%B1_listesi,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
Yaşar Büyükanıt,https://tr.wikipedia.org/wiki/Ya%C5%9Far_B%C3%BCy%C3%BCkan%C4%B1t,2,2,2007 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_22 | Page_28
Selin Sayek Böke,https://tr.wikipedia.org/wiki/Selin_Sayek_B%C3%B6ke,2,2,Haziran 2015 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_24 | Page_28
Necmettin Erbakan,https://tr.wikipedia.org/wiki/Necmettin_Erbakan,2,2,2002 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_26 | Page_28
28 Şubat Süreci,https://tr.wikipedia.org/wiki/28_%C5%9Eubat_S%C3%BCreci,2,2,2002 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_26 | Page_28
Mesut Yılmaz,https://tr.wikipedia.org/wiki/Mesut_Y%C4%B1lmaz,2,2,2002 Türkiye genel seçimleri | Cumhuriyet Halk Partisi,Page_26 | Page_28
